Intake_g,Cal_kcal,Protein_g,Fat_g,SF_g,TF_g,Cho_g,Sugar_g,Na_g,Name,Brand,Resource,UpdateTime,Portions,BraName
80.0,240.0,6.0,16.7,10.0,0.2,16.3,6.6,0.035,法式千層薄餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_法式千層薄餅
100.0,264.0,3.8,7.8,1.9,0.0,44.7,2.8,0.441,火腿蛋沙拉三明治,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_火腿蛋沙拉三明治
195.0,443.0,29.6,14.0,7.4,0.2,49.3,2.0,0.764,松露魚排堡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_松露魚排堡
75.0,326.0,7.0,19.0,10.0,0.0,32.0,12.0,0.26,杏仁可頌,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_杏仁可頌
68.0,221.0,5.0,14.3,7.5,0.0,18.4,11.6,0.058,蜂蜜蛋糕捲,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_蜂蜜蛋糕捲
95.0,218.0,4.1,10.1,4.9,0.0,27.6,18.0,0.048,芒果戚風蛋糕,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_芒果戚風蛋糕
20.0,92.8,1.4,2.9,2.3,0.0,15.3,10.4,0.028,星冰樂捲心棒,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_星冰樂捲心棒
650.0,2022.0,42.3,126.8,71.0,2.0,177.5,57.2,0.52,6吋提拉米蘇千層薄餅,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_6吋提拉米蘇千層薄餅
340.0,1105.0,24.1,71.1,37.7,0.0,92.1,57.8,0.289,長條蜂蜜蛋糕捲,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_長條蜂蜜蛋糕捲
120.0,257.0,14.4,9.2,3.0,0.0,29.0,0.0,0.461,美式培根蛋堡,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_美式培根蛋堡
140.0,336.0,9.9,19.6,14.3,0.0,29.8,16.1,0.2,星巴克輕乳蛋糕,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_星巴克輕乳蛋糕
130.0,103.0,3.4,4.0,2.6,0.0,13.3,9.2,0.045,藍莓果漿優格,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_藍莓果漿優格
149.0,84.0,1.0,0.3,0.0,0.0,19.2,0.0,0.01,雙果巧拼,Starbucks,https://www.starbucks.com.tw/home/index.jspx,20190923,一份,Starbucks_雙果巧拼
